Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 13:45:02,965502233,-89,12.5,7,904700000,0.071936s
2024-11-24 13:44:44,947977435,-100,6,7,904100000,0.071936s
2024-11-24 13:44:33,936871155,-102,3.5,7,904300000,0.071936s
2024-11-24 13:44:17,920251765,-97,9,7,903900000,0.071936s
2024-11-24 13:43:59,902927358,-94,10,7,904500000,0.071936s
2024-11-24 13:43:42,885616632,-97,7.5,7,905100000,0.071936s
2024-11-24 13:43:25,868616178,-94,9.2,7,904300000,0.071936s
2024-11-24 13:43:08,410338836,-89,-5,7,905300000,0.071936s
2024-11-24 13:43:08,410338836,-97,7.8,7,905300000,0.071936s
2024-11-24 13:42:51,834072364,-95,10,7,904500000,0.071936s
2024-11-24 13:42:34,817417654,-94,10.5,7,904700000,0.071936s
2024-11-24 13:42:16,799829436,-93,10.5,7,904900000,0.077056s
2024-11-24 13:42:00,783366044,-106,-0.8,7,904300000,0.077056s
2024-11-24 13:41:43,766958661,-104,3.2,7,903900000,0.077056s
2024-11-24 13:41:27,750415119,-105,-1.5,7,905300000,0.071936s
2024-11-24 13:41:11,733983733,-103,2.5,7,905100000,0.071936s
2024-11-24 13:40:54,717452348,-105,-0.5,7,904500000,0.071936s
2024-11-24 13:40:37,700125939,-106,-2.2,7,904700000,0.071936s
2024-11-24 13:40:20,683485528,-96,10,7,903900000,0.071936s
2024-11-24 13:40:03,666145124,-98,7.5,7,904700000,0.071936s
2024-11-24 13:39:45,648484317,-98,8,7,904500000,0.071936s
2024-11-24 13:39:28,630979420,-91,11.5,7,904100000,0.071936s
2024-11-24 13:39:11,614624015,-93,10.8,7,904500000,0.071936s
2024-11-24 13:38:54,597434448,-93,11,7,905300000,0.077056s
2024-11-24 13:38:36,579758030,-89,12,7,904900000,0.077056s
2024-11-24 13:38:19,562134617,-87,12.5,7,905100000,0.077056s
2024-11-24 13:38:02,545508208,-86,13,7,904100000,0.077056s
2024-11-24 13:37:45,528722366,-81,13.5,7,904900000,0.071936s
2024-11-24 13:37:34,517817133,-81,11.5,7,904300000,0.077056s
2024-11-24 13:37:18,501435742,-81,13.2,7,905100000,0.077056s
2024-11-24 13:37:00,483861311,-81,13.8,7,904700000,0.077056s
2024-11-24 13:36:44,467044915,-83,13.2,7,904100000,0.077056s
2024-11-24 13:36:44,467044915,-82,-7.5,7,904100000,0.077056s
2024-11-24 13:36:27,450696672,-83,13.2,7,905300000,0.082176s
2024-11-24 13:36:11,434430939,-83,11.5,7,904300000,0.071936s
2024-11-24 13:35:46,409965271,-83,13.5,7,905300000,0.071936s
2024-11-24 13:35:38,401797219,-94,9.5,7,904700000,0.077056s
